Date,Buy Cash,Buy Transfer,Sell,inflation_rate_vn,inflation_rate_us,fdi_vn,fdi_us
2013-01-01,20760.0,20810.0,20860.0,0.0707,0.016,1.39,40.6
2013-01-02,20770.0,20820.0,20860.0,0.0707,0.016,1.39,40.6
2013-01-03,20770.0,20820.0,20860.0,0.0707,0.016,1.39,40.6
2013-01-04,20770.0,20820.0,20860.0,0.0707,0.016,1.39,40.6
2013-01-05,20765.0,20815.0,20855.0,0.0707,0.016,1.39,40.6
2013-01-06,20765.0,20815.0,20855.0,0.0707,0.016,1.39,40.6
2013-01-07,20770.0,20820.0,20860.0,0.0707,0.016,1.39,40.6
2013-01-08,20775.0,20825.0,20865.0,0.0707,0.016,1.39,40.6
2013-01-09,20770.0,20820.0,20860.0,0.0707,0.016,1.39,40.6
2013-01-10,20770.0,20820.0,20860.0,0.0707,0.016,1.39,40.6
2013-01-11,20770.0,20820.0,20860.0,0.0707,0.016,1.39,40.6
2013-01-12,20770.0,20820.0,20860.0,0.0707,0.016,1.39,40.6
2013-01-13,20770.0,20820.0,20860.0,0.0707,0.016,1.39,40.6
2013-01-14,20770.0,20820.0,20860.0,0.0707,0.016,1.39,40.6
2013-01-15,20770.0,20820.0,20860.0,0.0707,0.016,1.39,40.6
2013-01-16,20770.0,20820.0,20860.0,0.0707,0.016,1.39,40.6
2013-01-17,20775.0,20825.0,20865.0,0.0707,0.016,1.39,40.6
2013-01-18,20775.0,20825.0,20865.0,0.0707,0.016,1.39,40.6
2013-01-19,20775.0,20825.0,20865.0,0.0707,0.016,1.39,40.6
2013-01-20,20775.0,20825.0,20865.0,0.0707,0.016,1.39,40.6
2013-01-21,20770.0,20820.0,20860.0,0.0707,0.016,1.39,40.6
2013-01-22,20780.0,20830.0,20870.0,0.0707,0.016,1.39,40.6
2013-01-23,20780.0,20830.0,20870.0,0.0707,0.016,1.39,40.6
2013-01-24,20775.0,20825.0,20865.0,0.0707,0.016,1.39,40.6
2013-01-25,20775.0,20825.0,20865.0,0.0707,0.016,1.39,40.6
2013-01-26,20775.0,20825.0,20865.0,0.0707,0.016,1.39,40.6
2013-01-27,20775.0,20825.0,20865.0,0.0707,0.016,1.39,40.6
2013-01-28,20775.0,20825.0,20865.0,0.0707,0.016,1.39,40.6
2013-01-29,20775.0,20825.0,20865.0,0.0707,0.016,1.39,40.6
2013-01-30,20775.0,20825.0,20865.0,0.0707,0.016,1.39,40.6
2013-01-31,20775.0,20825.0,20865.0,0.0707,0.016,1.39,40.6
2013-02-01,20775.0,20825.0,20865.0,0.0702,0.02,1.39,40.6
2013-02-02,20775.0,20825.0,20865.0,0.0702,0.02,1.39,40.6
2013-02-03,20775.0,20825.0,20865.0,0.0702,0.02,1.39,40.6
2013-02-04,20765.0,20815.0,20855.0,0.0702,0.02,1.39,40.6
2013-02-05,20765.0,20815.0,20855.0,0.0702,0.02,1.39,40.6
2013-02-06,20750.0,20800.0,20850.0,0.0702,0.02,1.39,40.6
2013-02-07,20750.0,20800.0,20840.0,0.0702,0.02,1.39,40.6
2013-02-08,20750.0,20800.0,20880.0,0.0702,0.02,1.39,40.6
2013-02-09,20750.0,20800.0,20880.0,0.0702,0.02,1.39,40.6
2013-02-10,20750.0,20800.0,20880.0,0.0702,0.02,1.39,40.6
2013-02-11,20750.0,20800.0,20880.0,0.0702,0.02,1.39,40.6
2013-02-12,20750.0,20800.0,20880.0,0.0702,0.02,1.39,40.6
2013-02-13,20750.0,20800.0,20880.0,0.0702,0.02,1.39,40.6
2013-02-14,20750.0,20800.0,20880.0,0.0702,0.02,1.39,40.6
2013-02-15,20750.0,20800.0,20880.0,0.0702,0.02,1.39,40.6
2013-02-16,20750.0,20800.0,20880.0,0.0702,0.02,1.39,40.6
2013-02-17,20750.0,20800.0,20880.0,0.0702,0.02,1.39,40.6
2013-02-18,20780.0,20830.0,20880.0,0.0702,0.02,1.39,40.6
2013-02-19,20785.0,20835.0,20895.0,0.0702,0.02,1.39,40.6
2013-02-20,20815.0,20865.0,20950.0,0.0702,0.02,1.39,40.6
2013-02-21,20860.0,20890.0,21000.0,0.0702,0.02,1.39,40.6
2013-02-22,20800.0,20850.0,20940.0,0.0702,0.02,1.39,40.6
2013-02-23,20790.0,20840.0,20930.0,0.0702,0.02,1.39,40.6
2013-02-24,20790.0,20840.0,20930.0,0.0702,0.02,1.39,40.6
2013-02-25,20820.0,20870.0,20940.0,0.0702,0.02,1.39,40.6
2013-02-26,20840.0,20870.0,20940.0,0.0702,0.02,1.39,40.6
2013-02-27,20870.0,20900.0,20990.0,0.0702,0.02,1.39,40.6
2013-02-28,20860.0,20890.0,20980.0,0.0702,0.02,1.39,40.6
2013-03-01,20870.0,20900.0,20980.0,0.0664,0.015,1.39,40.6
2013-03-02,20870.0,20900.0,20980.0,0.0664,0.015,1.39,40.6
2013-03-03,20870.0,20900.0,20980.0,0.0664,0.015,1.39,40.6
2013-03-04,20870.0,20900.0,20990.0,0.0664,0.015,1.39,40.6
2013-03-05,20910.0,20940.0,21020.0,0.0664,0.015,1.39,40.6
2013-03-06,20870.0,20900.0,20970.0,0.0664,0.015,1.39,40.6
2013-03-07,20870.0,20900.0,20960.0,0.0664,0.015,1.39,40.6
2013-03-08,20870.0,20900.0,20960.0,0.0664,0.015,1.39,40.6
2013-03-09,20870.0,20900.0,20960.0,0.0664,0.015,1.39,40.6
2013-03-10,20870.0,20900.0,20960.0,0.0664,0.015,1.39,40.6
2013-03-11,20880.0,20910.0,20960.0,0.0664,0.015,1.39,40.6
2013-03-12,20890.0,20920.0,20970.0,0.0664,0.015,1.39,40.6
2013-03-13,20890.0,20920.0,20970.0,0.0664,0.015,1.39,40.6
2013-03-14,20890.0,20920.0,20970.0,0.0664,0.015,1.39,40.6
2013-03-15,20890.0,20920.0,20970.0,0.0664,0.015,1.39,40.6
2013-03-16,20890.0,20920.0,20970.0,0.0664,0.015,1.39,40.6
2013-03-17,20890.0,20920.0,20970.0,0.0664,0.015,1.39,40.6
2013-03-18,20890.0,20920.0,20970.0,0.0664,0.015,1.39,40.6
2013-03-19,20890.0,20920.0,20970.0,0.0664,0.015,1.39,40.6
2013-03-20,20890.0,20920.0,20960.0,0.0664,0.015,1.39,40.6
2013-03-21,20890.0,20920.0,20960.0,0.0664,0.015,1.39,40.6
2013-03-22,20890.0,20920.0,20960.0,0.0664,0.015,1.39,40.6
2013-03-23,20890.0,20920.0,20960.0,0.0664,0.015,1.39,40.6
2013-03-24,20890.0,20920.0,20960.0,0.0664,0.015,1.39,40.6
